Sim 1

Solar R: 0.85
Solar A: 0.0146
Solar T: 0.1354

WL	R	A	T	n(1)	mu_a(1)	mu_s(1)	g(1)	t(1)
0.25	0.6061	0.3844	0.0095	1.555	0.0013	2.9586	0.9502	200.0	
0.26	0.8236	0.1198	0.0565	1.5479	0.0002	2.8997	0.9467	200.0	
0.27	0.8631	0.0675	0.0694	1.5418	0.0001	2.8238	0.9433	200.0	
0.28	0.8814	0.044	0.0747	1.5364	0.0001	2.7345	0.9398	200.0	
0.29	0.8968	0.0222	0.081	1.5318	0.0	2.6413	0.9363	200.0	
0.3	0.9047	0.0128	0.0825	1.5277	0.0	2.5395	0.9328	200.0	
0.31	0.9086	0.0091	0.0824	1.5241	0.0	2.4402	0.9292	200.0	
0.32	0.9119	0.0052	0.0829	1.521	0.0	2.3383	0.9257	200.0	
0.33	0.9151	0.001	0.0839	1.5182	0.0	2.2402	0.9221	200.0	
0.34	0.9162	0.0	0.0841	1.5157	0.0	2.1441	0.9185	200.0	
0.35	0.9163	0.0	0.084	1.5135	0.0	2.0495	0.9148	200.0	
0.36	0.9164	0.0	0.0838	1.5115	0.0	1.9613	0.9111	200.0	
0.37	0.9163	0.0	0.0839	1.5098	0.0	1.8738	0.9074	200.0	
0.38	0.9162	0.0	0.084	1.5081	0.0	1.7913	0.9036	200.0	
0.39	0.9159	0.0	0.0842	1.5067	0.0	1.7112	0.8999	200.0	
0.4	0.9156	0.0	0.0844	1.5054	0.0	1.6358	0.896	200.0	
0.41	0.9153	0.0	0.0848	1.5042	0.0	1.5635	0.8921	200.0	
0.42	0.9149	0.0	0.0851	1.5031	0.0	1.4956	0.8882	200.0	
0.43	0.9145	0.0001	0.0854	1.5021	0.0	1.4309	0.8843	200.0	
0.44	0.9141	0.0001	0.0858	1.5012	0.0	1.3699	0.8803	200.0	
0.45	0.9137	0.0001	0.0862	1.5004	0.0	1.3111	0.8763	200.0	
0.46	0.9129	0.0002	0.0869	1.4997	0.0	1.2546	0.8722	200.0	
0.47	0.912	0.0003	0.0877	1.4989	0.0	1.2028	0.8681	200.0	
0.48	0.9109	0.0005	0.0886	1.4983	0.0	1.1527	0.864	200.0	
0.49	0.9099	0.0007	0.0894	1.4977	0.0	1.1054	0.8598	200.0	
0.5	0.9088	0.0009	0.0903	1.4972	0.0	1.0607	0.8556	200.0	
0.51	0.9078	0.0011	0.0911	1.4966	0.0	1.0185	0.8513	200.0	
0.52	0.9066	0.0011	0.0923	1.4961	0.0	0.9779	0.8471	200.0	
0.53	0.9053	0.001	0.0936	1.4957	0.0	0.9391	0.8428	200.0	
0.54	0.9041	0.001	0.0949	1.4954	0.0	0.9019	0.8384	200.0	
0.55	0.9028	0.001	0.0962	1.495	0.0	0.8664	0.8341	200.0	
0.56	0.9016	0.001	0.0974	1.4946	0.0	0.8334	0.8297	200.0	
0.57	0.9004	0.001	0.0986	1.4943	0.0	0.802	0.8252	200.0	
0.58	0.8993	0.001	0.0998	1.494	0.0	0.7723	0.8208	200.0	
0.59	0.898	0.001	0.101	1.4937	0.0	0.7431	0.8163	200.0	
0.6	0.8968	0.0009	0.1023	1.4934	0.0	0.7162	0.8118	200.0	
0.61	0.8956	0.0009	0.1035	1.4932	0.0	0.6906	0.8073	200.0	
0.62	0.8942	0.0009	0.1049	1.493	0.0	0.6651	0.8027	200.0	
0.63	0.8929	0.0008	0.1063	1.4927	0.0	0.6414	0.7982	200.0	
0.64	0.8916	0.0008	0.1076	1.4925	0.0	0.6189	0.7936	200.0	
0.65	0.8903	0.0007	0.109	1.4923	0.0	0.5975	0.7889	200.0	
0.66	0.889	0.0007	0.1103	1.4921	0.0	0.5771	0.7843	200.0	
0.67	0.8877	0.0006	0.1117	1.492	0.0	0.5573	0.7797	200.0	
0.68	0.8864	0.0006	0.113	1.4918	0.0	0.5384	0.775	200.0	
0.69	0.8851	0.0006	0.1143	1.4916	0.0	0.5208	0.7703	200.0	
0.7	0.8837	0.0005	0.1158	1.4915	0.0	0.5028	0.7656	200.0	
0.71	0.8825	0.0005	0.1171	1.4913	0.0	0.4868	0.7609	200.0	
0.72	0.8811	0.0004	0.1185	1.4912	0.0	0.4704	0.7561	200.0	
0.73	0.8798	0.0004	0.1199	1.4911	0.0	0.4551	0.7514	200.0	
0.74	0.8786	0.0003	0.1211	1.491	0.0	0.4409	0.7466	200.0	
0.75	0.8774	0.0003	0.1224	1.4908	0.0	0.4271	0.7417	200.0	
0.76	0.8761	0.0002	0.1237	1.4908	0.0	0.4137	0.7369	200.0	
0.77	0.8748	0.0002	0.125	1.4907	0.0	0.4007	0.732	200.0	
0.78	0.8735	0.0001	0.1264	1.4906	0.0	0.388	0.7271	200.0	
0.79	0.8723	0.0001	0.1276	1.4905	0.0	0.3762	0.7222	200.0	
0.8	0.8711	0.0	0.1289	1.4904	0.0	0.3648	0.7172	200.0	
0.81	0.8699	0.0	0.1301	1.4903	0.0	0.3539	0.7122	200.0	
0.82	0.8685	0.0	0.1316	1.4902	0.0	0.3434	0.7072	200.0	
0.83	0.8672	0.0	0.1329	1.4901	0.0	0.3336	0.7021	200.0	
0.84	0.8658	0.0	0.1344	1.49	0.0	0.324	0.697	200.0	
0.85	0.8643	0.0	0.1359	1.49	0.0	0.3143	0.6918	200.0	
0.86	0.8629	0.0	0.1374	1.4899	0.0	0.3052	0.6866	200.0	
0.87	0.8615	0.0	0.1388	1.4898	0.0	0.2966	0.6814	200.0	
0.88	0.8602	0.0	0.1401	1.4898	0.0	0.2883	0.6761	200.0	
0.89	0.8589	0.0	0.1415	1.4898	0.0	0.2803	0.6708	200.0	
0.9	0.8576	0.0	0.1429	1.4897	0.0	0.2724	0.6654	200.0	
0.91	0.8562	0.0	0.1443	1.4897	0.0	0.2648	0.6599	200.0	
0.92	0.8551	0.0	0.1454	1.4896	0.0	0.2579	0.6545	200.0	
