Sim 1

Solar R: 0.8523
Solar A: 0.0146
Solar T: 0.1331

Wavelength	R	A	T
0.25	0.6048	0.3855	0.0097	
0.2538	0.7252	0.2473	0.0275	
0.2577	0.7986	0.1534	0.0481	
0.2615	0.8384	0.0992	0.0624	
0.2654	0.8514	0.0826	0.066	
0.2692	0.8604	0.0704	0.0693	
0.2731	0.8698	0.0575	0.0727	
0.2769	0.8762	0.0499	0.0739	
0.2808	0.8824	0.0415	0.0761	
0.2846	0.8888	0.0317	0.0795	
0.2885	0.8946	0.0244	0.081	
0.2923	0.8989	0.0189	0.0822	
0.2962	0.9024	0.0148	0.0829	
0.3	0.9042	0.0128	0.083	
0.3038	0.9058	0.0113	0.0829	
0.3077	0.9073	0.0099	0.0828	
0.3115	0.9086	0.0085	0.0828	
0.3154	0.9099	0.0071	0.083	
0.3192	0.9113	0.0055	0.0833	
0.3231	0.9124	0.0042	0.0834	
0.3269	0.9138	0.0025	0.0838	
0.3308	0.915	0.0006	0.0844	
0.3346	0.9157	0.0	0.0846	
0.3385	0.9158	0.0	0.0845	
0.3423	0.9159	0.0	0.0844	
0.3462	0.916	0.0	0.0843	
0.35	0.916	0.0	0.0843	
0.3538	0.916	0.0	0.0842	
0.3577	0.916	0.0	0.0842	
0.3615	0.9161	0.0	0.0841	
0.3654	0.9161	0.0	0.0841	
0.3692	0.9161	0.0	0.0841	
0.3731	0.9161	0.0	0.0841	
0.3769	0.916	0.0	0.0842	
0.3808	0.916	0.0	0.0842	
0.3846	0.9158	0.0	0.0843	
0.3885	0.9158	0.0	0.0843	
0.3923	0.9157	0.0	0.0844	
0.3962	0.9156	0.0	0.0844	
0.4	0.9155	0.0	0.0845	
0.405	0.9154	0.0	0.0847	
0.4159	0.9151	0.0	0.0849	
0.4269	0.9147	0.0	0.0852	
0.4378	0.9144	0.0001	0.0855	
0.4487	0.9139	0.0001	0.0859	
0.4597	0.9132	0.0002	0.0866	
0.4706	0.9124	0.0002	0.0874	
0.4815	0.9113	0.0004	0.0883	
0.4925	0.9102	0.0006	0.0892	
0.5034	0.9092	0.0008	0.09	
0.5143	0.9081	0.001	0.0909	
0.5252	0.9069	0.0011	0.0921	
0.5362	0.9056	0.0011	0.0934	
0.5471	0.9042	0.001	0.0948	
0.5581	0.9029	0.001	0.096	
0.569	0.9017	0.001	0.0972	
0.5799	0.9005	0.001	0.0985	
0.5908	0.8992	0.001	0.0998	
0.6018	0.8981	0.001	0.101	
0.6127	0.8968	0.0009	0.1023	
0.6236	0.8952	0.0009	0.1039	
0.6346	0.8938	0.0009	0.1053	
0.6455	0.8924	0.0008	0.1068	
0.6564	0.8909	0.0008	0.1083	
0.6674	0.8894	0.0007	0.1099	
0.6783	0.8878	0.0006	0.1115	
0.6892	0.8864	0.0006	0.113	
0.7002	0.8847	0.0005	0.1148	
0.7111	0.8832	0.0005	0.1163	
0.722	0.8815	0.0004	0.1181	
0.733	0.88	0.0004	0.1197	
0.7439	0.8786	0.0003	0.1211	
0.7548	0.877	0.0002	0.1227	
0.7658	0.8755	0.0002	0.1243	
0.7767	0.874	0.0001	0.1259	
0.7876	0.8725	0.0001	0.1274	
0.7986	0.8712	0.0	0.1288	
0.8095	0.8698	0.0	0.1302	
0.8204	0.8682	0.0	0.1319	
0.8314	0.8668	0.0	0.1333	
0.8423	0.8653	0.0	0.1349	
0.8532	0.8637	0.0	0.1365	
0.8642	0.8623	0.0	0.1379	
0.8751	0.861	0.0	0.1393	
0.886	0.8597	0.0	0.1406	
0.897	0.8585	0.0	0.1419	
0.9079	0.8571	0.0	0.1433	
0.9188	0.8561	0.0	0.1443	
0.9298	0.855	0.0	0.1455	
0.9407	0.8538	0.0	0.1467	
0.9516	0.8529	0.0	0.1477	
0.9625	0.8518	0.0	0.1489	
0.9735	0.8508	0.0	0.1499	
0.9844	0.8498	0.0	0.1509	
0.9953	0.8488	0.0	0.1519	
1.0063	0.8479	0.0	0.1528	
1.0172	0.847	0.0	0.1538	
1.0281	0.8459	0.0	0.1549	
1.0391	0.8452	0.0	0.1557	
1.05	0.8441	0.0	0.1567	
1.06	0.8433	0.0	0.1576	
1.0713	0.8425	0.0	0.1584	
1.0826	0.8414	0.0	0.1595	
1.0938	0.8405	0.0	0.1605	
1.1051	0.8395	0.0	0.1615	
1.1164	0.8386	0.0	0.1625	
1.1277	0.8375	0.0	0.1635	
1.139	0.8361	0.0	0.165	
1.1503	0.8314	0.0055	0.163	
1.1615	0.8286	0.0079	0.1635	
1.1728	0.8242	0.0132	0.1626	
1.1841	0.8174	0.0233	0.1593	
1.1954	0.8207	0.0145	0.1648	
1.2067	0.8229	0.0079	0.1692	
1.2179	0.8228	0.0051	0.1722	
1.2292	0.8249	0.0	0.1758	
1.2405	0.8233	0.0	0.1773	
1.2518	0.8215	0.0	0.1791	
1.2631	0.82	0.0	0.1805	
1.2744	0.8183	0.0	0.1821	
1.2856	0.8166	0.0	0.1838	
1.2969	0.8146	0.0	0.1856	
1.3082	0.8128	0.0	0.1874	
1.3195	0.811	0.0	0.1891	
1.3308	0.8089	0.0	0.1911	
1.3421	0.8039	0.0045	0.1916	
1.3533	0.7989	0.0086	0.1925	
1.3646	0.7934	0.0142	0.1924	
1.3759	0.7862	0.0242	0.1896	
1.3872	0.7826	0.027	0.1904	
1.3985	0.7808	0.0257	0.1935	
1.4097	0.7778	0.0274	0.1949	
1.421	0.7739	0.0305	0.1957	
1.4323	0.7698	0.0332	0.1969	
1.4436	0.7695	0.0304	0.2001	
1.4549	0.7719	0.021	0.2071	
1.4662	0.7742	0.0109	0.2148	
1.4774	0.7725	0.01	0.2175	
1.4887	0.7707	0.0091	0.2202	
1.5	0.7688	0.0083	0.2229	
1.51	0.7669	0.0078	0.2253	
1.5162	0.7656	0.0077	0.2268	
1.5225	0.7643	0.0075	0.2283	
1.5287	0.7629	0.0075	0.2297	
1.5349	0.7612	0.0075	0.2313	
1.5411	0.7598	0.0076	0.2326	
1.5474	0.7583	0.0077	0.234	
1.5536	0.7568	0.0078	0.2354	
1.5598	0.7554	0.0078	0.2368	
1.566	0.7541	0.0079	0.238	
1.5723	0.7526	0.0079	0.2394	
1.5785	0.7512	0.0079	0.2409	
1.5847	0.7498	0.0079	0.2424	
1.5909	0.7483	0.0079	0.2438	
1.5972	0.7468	0.008	0.2452	
1.6034	0.7452	0.0082	0.2466	
1.6096	0.7437	0.0084	0.248	
1.6158	0.7419	0.0086	0.2496	
1.6221	0.7403	0.0087	0.251	
1.6283	0.7386	0.0091	0.2523	
1.6345	0.737	0.0094	0.2537	
1.6408	0.735	0.0102	0.2548	
1.647	0.7326	0.0115	0.2559	
1.6532	0.7259	0.0229	0.2512	
1.6594	0.7147	0.0412	0.2441	
1.6657	0.6983	0.0664	0.2353	
1.6719	0.6712	0.1115	0.2173	
1.6781	0.6498	0.1442	0.206	
1.6843	0.6315	0.1748	0.1937	
1.6906	0.6222	0.1887	0.1891	
1.6968	0.6198	0.1904	0.1899	
1.703	0.6205	0.1865	0.193	
1.7092	0.622	0.1813	0.1967	
1.7155	0.6217	0.1793	0.199	
1.7217	0.62	0.1796	0.2003	
1.7279	0.6197	0.1776	0.2027	
1.7342	0.6217	0.1714	0.2068	
1.7404	0.626	0.1611	0.2128	
1.7466	0.6313	0.1487	0.22	
1.7528	0.6358	0.1382	0.2259	
1.7591	0.6401	0.1288	0.2311	
1.7653	0.6459	0.1171	0.237	
1.7715	0.6521	0.1041	0.2438	
1.7777	0.6578	0.091	0.2512	
1.784	0.661	0.0823	0.2568	
1.7902	0.6613	0.0789	0.2598	
1.7964	0.6609	0.077	0.2621	
1.8026	0.6602	0.0756	0.2642	
1.8089	0.6597	0.0737	0.2666	
1.8151	0.6604	0.0696	0.27	
1.8213	0.6604	0.0667	0.2729	
1.8275	0.6612	0.0625	0.2762	
1.8338	0.6619	0.0585	0.2795	
1.84	0.6627	0.0546	0.2827	
1.8462	0.664	0.0498	0.2862	
1.8525	0.6638	0.0473	0.2889	
1.8587	0.6632	0.0455	0.2912	
1.8649	0.6621	0.0447	0.2933	
1.8711	0.6594	0.0461	0.2945	
1.8774	0.6558	0.0489	0.2953	
1.8836	0.6517	0.0526	0.2957	
1.8898	0.6466	0.0581	0.2954	
1.896	0.641	0.0647	0.2943	
1.9023	0.6334	0.0747	0.2919	
1.9085	0.6284	0.0808	0.2908	
1.9147	0.6253	0.0837	0.2911	
1.9209	0.6256	0.0803	0.2941	
1.9272	0.6262	0.0763	0.2975	
1.9334	0.6254	0.0749	0.2997	
1.9396	0.6242	0.0743	0.3015	
