Sim 1

Solar R: 0.5711
Solar A: 0.4289
Solar T: 0.0

Wavelength	R	A	T
0.25	0.0547	0.9453	0.0	
0.2538	0.0549	0.9451	0.0	
0.2577	0.0547	0.9453	0.0	
0.2615	0.0545	0.9455	0.0	
0.2654	0.0542	0.9458	0.0	
0.2692	0.0536	0.9464	0.0	
0.2725	0.0534	0.9466	0.0	
0.2755	0.053	0.947	0.0	
0.2785	0.0528	0.9472	0.0	
0.2817	0.0528	0.9472	0.0	
0.2852	0.0525	0.9475	0.0	
0.2891	0.052	0.9479	0.0	
0.2929	0.0518	0.9482	0.0	
0.2968	0.0514	0.9486	0.0	
0.3006	0.0511	0.9489	0.0	
0.3044	0.0508	0.9492	0.0	
0.3083	0.0506	0.9494	0.0	
0.3119	0.0506	0.9494	0.0	
0.3154	0.0502	0.9498	0.0	
0.3187	0.0501	0.9499	0.0	
0.3219	0.0499	0.9501	0.0	
0.3249	0.0497	0.9503	0.0	
0.3279	0.0494	0.9506	0.0	
0.3314	0.0491	0.9509	0.0	
0.3353	0.0489	0.9511	0.0	
0.3391	0.0485	0.9515	0.0	
0.3429	0.0483	0.9517	0.0	
0.3468	0.0481	0.9519	0.0	
0.3506	0.0479	0.9521	0.0	
0.3545	0.0476	0.9524	0.0	
0.3583	0.0476	0.9524	0.0	
0.3622	0.0474	0.9526	0.0	
0.366	0.0472	0.9528	0.0	
0.3698	0.0471	0.9529	0.0	
0.3737	0.0469	0.9531	0.0	
0.3775	0.047	0.953	0.0	
0.3814	0.0471	0.9529	0.0	
0.3852	0.047	0.953	0.0	
0.389	0.0469	0.9531	0.0	
0.3929	0.0469	0.9531	0.0	
0.3967	0.0468	0.9532	0.0	
0.4006	0.047	0.953	0.0	
0.4045	0.047	0.953	0.0	
0.4094	0.0471	0.9529	0.0	
0.4167	0.0471	0.9529	0.0	
0.4267	0.0477	0.9523	0.0	
0.4367	0.049	0.951	0.0	
0.4467	0.0502	0.9498	0.0	
0.4567	0.0524	0.9476	0.0	
0.4667	0.0567	0.9433	0.0	
0.4767	0.0665	0.9335	0.0	
0.4867	0.0791	0.9209	0.0	
0.4967	0.0905	0.9095	0.0	
0.5067	0.1024	0.8976	0.0	
0.5167	0.1129	0.8871	0.0	
0.5267	0.1217	0.8783	0.0	
0.5367	0.1335	0.8665	0.0	
0.5467	0.1516	0.8484	0.0	
0.5567	0.1755	0.8245	0.0	
0.5667	0.2145	0.7855	0.0	
0.5767	0.2653	0.7347	0.0	
0.5867	0.3303	0.6697	0.0	
0.5967	0.4003	0.5997	0.0	
0.6067	0.4662	0.5338	0.0	
0.6167	0.5247	0.4753	0.0	
0.6267	0.5729	0.4271	0.0	
0.6367	0.6058	0.3942	0.0	
0.6467	0.633	0.367	0.0	
0.6567	0.6624	0.3376	0.0	
0.6667	0.6933	0.3067	0.0	
0.6767	0.7175	0.2825	0.0	
0.6867	0.7379	0.2621	0.0	
0.6967	0.7562	0.2438	0.0	
0.7067	0.7695	0.2305	0.0	
0.7167	0.7832	0.2168	0.0	
0.7267	0.7947	0.2053	0.0	
0.7367	0.8063	0.1937	0.0	
0.7467	0.814	0.186	0.0	
0.7567	0.8189	0.1811	0.0	
0.7667	0.8231	0.1769	0.0	
0.7767	0.8279	0.1721	0.0	
0.7867	0.829	0.171	0.0	
0.7967	0.8286	0.1714	0.0	
0.8067	0.8209	0.1791	0.0	
0.8167	0.8123	0.1877	0.0	
0.8267	0.8089	0.1911	0.0	
0.8367	0.8045	0.1955	0.0	
0.8467	0.8041	0.1959	0.0	
0.8567	0.8044	0.1956	0.0	
0.8667	0.8095	0.1905	0.0	
0.8767	0.8114	0.1886	0.0	
0.8867	0.8166	0.1834	0.0	
0.8967	0.8219	0.1781	0.0	
0.9067	0.827	0.173	0.0	
0.9167	0.8311	0.1689	0.0	
0.9267	0.8323	0.1677	0.0	
0.9367	0.8352	0.1648	0.0	
0.9467	0.8407	0.1593	0.0	
0.9567	0.8476	0.1524	0.0	
0.9667	0.8499	0.1501	0.0	
0.9767	0.8583	0.1417	0.0	
0.9867	0.8666	0.1334	0.0	
0.9967	0.8737	0.1263	0.0	
1.0067	0.8773	0.1227	0.0	
1.0167	0.8806	0.1194	0.0	
1.0267	0.8864	0.1136	0.0	
1.0367	0.8902	0.1098	0.0	
1.0467	0.8955	0.1045	0.0	
1.0567	0.8976	0.1024	0.0	
1.0667	0.8977	0.1023	0.0	
1.0767	0.8968	0.1032	0.0	
1.0867	0.8982	0.1018	0.0	
1.0967	0.8983	0.1017	0.0	
1.1067	0.8972	0.1028	0.0	
1.1167	0.8964	0.1036	0.0	
1.1267	0.8982	0.1018	0.0	
1.1367	0.8994	0.1006	0.0	
1.1467	0.895	0.105	0.0	
1.1567	0.8844	0.1156	0.0	
1.1667	0.8685	0.1315	0.0	
1.1767	0.8524	0.1476	0.0	
1.1867	0.8445	0.1555	0.0	
1.1967	0.8555	0.1445	0.0	
1.2067	0.8781	0.1219	0.0	
1.2167	0.8912	0.1088	0.0	
1.2267	0.8997	0.1003	0.0	
1.2367	0.9009	0.0991	0.0	
1.2467	0.9019	0.0981	0.0	
1.2567	0.9039	0.0961	0.0	
1.2667	0.9068	0.0932	0.0	
1.2767	0.908	0.092	0.0	
1.2867	0.9057	0.0943	0.0	
1.2967	0.9031	0.0969	0.0	
1.3067	0.8986	0.1014	0.0	
1.3167	0.8979	0.1021	0.0	
1.3267	0.8987	0.1013	0.0	
1.3367	0.896	0.104	0.0	
1.3467	0.8846	0.1154	0.0	
1.3567	0.8703	0.1297	0.0	
1.3667	0.8522	0.1478	0.0	
1.3767	0.8406	0.1594	0.0	
1.3867	0.8357	0.1643	0.0	
1.3967	0.8367	0.1633	0.0	
1.4067	0.8322	0.1678	0.0	
1.4167	0.828	0.172	0.0	
1.4267	0.8217	0.1783	0.0	
1.4367	0.8244	0.1756	0.0	
1.4467	0.8312	0.1687	0.0	
1.4567	0.8424	0.1576	0.0	
1.4667	0.8516	0.1484	0.0	
1.4767	0.861	0.1389	0.0	
1.4867	0.8658	0.1342	0.0	
1.4967	0.8634	0.1366	0.0	
1.5049	0.8669	0.1331	0.0	
1.5111	0.8712	0.1288	0.0	
1.5173	0.8643	0.1357	0.0	
1.5235	0.8684	0.1315	0.0	
1.5297	0.8666	0.1333	0.0	
1.5359	0.8694	0.1305	0.0001	
1.5421	0.8698	0.1301	0.0001	
1.5483	0.868	0.1319	0.0001	
1.5545	0.8689	0.131	0.0001	
1.5607	0.8675	0.1325	0.0001	
1.5669	0.8705	0.1294	0.0001	
1.5731	0.8721	0.1278	0.0001	
1.5793	0.864	0.1359	0.0	
1.5855	0.8684	0.1315	0.0001	
1.5917	0.8629	0.137	0.0001	
1.5979	0.8622	0.1377	0.0001	
1.6041	0.8654	0.1344	0.0002	
1.6103	0.8574	0.1426	0.0001	
1.6165	0.8585	0.1414	0.0001	
1.6227	0.8589	0.1409	0.0001	
1.6289	0.8519	0.148	0.0001	
1.6351	0.8515	0.1484	0.0001	
1.6413	0.8485	0.1514	0.0001	
1.6475	0.8438	0.1561	0.0002	
1.6537	0.8253	0.1746	0.0002	
1.6599	0.7974	0.2025	0.0001	
1.6661	0.7539	0.246	0.0001	
1.6723	0.702	0.2979	0.0001	
1.6785	0.6478	0.3522	0.0	
1.6847	0.6102	0.3898	0.0	
1.6909	0.5921	0.4079	0.0	
1.6971	0.5892	0.4108	0.0	
1.7033	0.598	0.402	0.0	
1.7095	0.6043	0.3957	0.0	
1.7157	0.6044	0.3956	0.0	
1.7219	0.6041	0.3959	0.0	
1.7281	0.6088	0.3912	0.0	
1.7343	0.6173	0.3827	0.0	
1.7405	0.6299	0.3701	0.0	
1.7467	0.6465	0.3534	0.0	
1.7529	0.6604	0.3395	0.0	
1.7591	0.6745	0.3254	0.0001	
1.7653	0.6942	0.3057	0.0001	
1.7715	0.7132	0.2867	0.0002	
1.7777	0.7308	0.269	0.0003	
1.7839	0.7422	0.2575	0.0003	
1.7901	0.7495	0.2501	0.0004	
1.7963	0.7542	0.2454	0.0004	
1.8025	0.755	0.2445	0.0004	
1.8087	0.7542	0.2453	0.0005	
1.8149	0.7597	0.2398	0.0005	
1.8211	0.7617	0.2377	0.0006	
1.8273	0.767	0.2324	0.0006	
1.8335	0.7742	0.2252	0.0007	
1.8397	0.7821	0.2172	0.0007	
1.8459	0.7874	0.2119	0.0007	
1.8521	0.7906	0.2086	0.0008	
1.8583	0.7919	0.2074	0.0008	
1.8645	0.7917	0.2074	0.0008	
1.8707	0.7877	0.2115	0.0008	
1.8769	0.7823	0.2167	0.0009	
1.8831	0.7766	0.2224	0.001	
1.8893	0.7689	0.2302	0.0009	
1.8955	0.7547	0.2444	0.0008	
1.9017	0.7426	0.2567	0.0007	
1.9079	0.7344	0.2649	0.0006	
1.9141	0.7292	0.2703	0.0005	
1.9203	0.7315	0.2678	0.0006	
1.9265	0.7384	0.2609	0.0007	
1.9327	0.7397	0.2596	0.0007	
1.9389	0.7406	0.2586	0.0008	
1.9451	0.7415	0.2577	0.0008	
1.9513	0.7423	0.2569	0.0008	
1.9575	0.7467	0.2525	0.0008	
1.9637	0.7527	0.2462	0.001	
1.9699	0.7593	0.2395	0.0012	
1.9761	0.7628	0.2359	0.0013	
1.9823	0.7643	0.2344	0.0013	
1.9885	0.7629	0.2357	0.0013	
1.9947	0.7579	0.2407	0.0014	
2.0009	0.7536	0.2452	0.0012	
2.0071	0.7502	0.2486	0.0012	
2.0133	0.7423	0.2566	0.0011	
2.0195	0.7333	0.2657	0.001	
2.0257	0.7226	0.2765	0.0009	
2.0319	0.7167	0.2824	0.0008	
2.0381	0.7135	0.2856	0.0009	
2.0443	0.7076	0.2917	0.0007	
2.0505	0.7048	0.2945	0.0008	
2.0567	0.7002	0.2991	0.0007	
2.0629	0.6862	0.3131	0.0006	
2.0691	0.6824	0.3169	0.0006	
2.0753	0.6822	0.3171	0.0006	
2.0815	0.6798	0.3196	0.0006	
2.0877	0.6808	0.3186	0.0006	
2.0939	0.6795	0.3199	0.0006	
2.1001	0.6761	0.3234	0.0006	
2.1063	0.6572	0.3424	0.0005	
2.1125	0.64	0.3596	0.0004	
2.1187	0.624	0.3758	0.0003	
2.1249	0.6138	0.386	0.0003	
2.1311	0.6101	0.3896	0.0003	
2.1373	0.6108	0.3889	0.0003	
2.1435	0.6162	0.3834	0.0003	
2.1497	0.6185	0.3811	0.0004	
2.1559	0.623	0.3766	0.0004	
2.1621	0.6299	0.3696	0.0004	
2.1683	0.6406	0.3589	0.0005	
2.1745	0.6413	0.3582	0.0006	
2.1807	0.645	0.3544	0.0006	
2.1869	0.6453	0.3541	0.0007	
2.1931	0.6351	0.3642	0.0006	
2.1993	0.6224	0.3771	0.0005	
2.2055	0.5985	0.4011	0.0004	
2.2117	0.5687	0.4311	0.0003	
2.2179	0.5185	0.4814	0.0001	
2.2241	0.4647	0.5352	0.0	
2.2303	0.4116	0.5884	0.0	
2.2365	0.3572	0.6428	0.0	
2.2427	0.3103	0.6897	0.0	
2.2489	0.2712	0.7288	0.0	
2.2551	0.2383	0.7617	0.0	
2.2613	0.2138	0.7862	0.0	
2.2675	0.2043	0.7957	0.0	
2.2737	0.2009	0.7991	0.0	
2.2799	0.1992	0.8008	0.0	
2.2861	0.1918	0.8082	0.0	
2.2923	0.1857	0.8143	0.0	
2.2985	0.1835	0.8165	0.0	
2.3047	0.1879	0.8121	0.0	
2.3109	0.2011	0.7989	0.0	
2.3171	0.2272	0.7728	0.0	
2.3233	0.2477	0.7523	0.0	
2.3295	0.2648	0.7352	0.0	
2.3357	0.2688	0.7312	0.0	
2.3419	0.2704	0.7296	0.0	
2.3481	0.2726	0.7274	0.0	
2.3543	0.279	0.721	0.0	
