Sim 2

Solar R: 0.3801
Solar A: 0.6199
Solar T: 0.0

Wavelength	R	A	T
0.25	0.0554	0.9446	0.0	
0.2538	0.055	0.945	0.0	
0.2577	0.0547	0.9453	0.0	
0.2615	0.0543	0.9457	0.0	
0.2654	0.0541	0.9459	0.0	
0.2692	0.0539	0.9461	0.0	
0.2725	0.0535	0.9465	0.0	
0.2755	0.0533	0.9467	0.0	
0.2785	0.0528	0.9472	0.0	
0.2817	0.0524	0.9476	0.0	
0.2852	0.0524	0.9476	0.0	
0.2891	0.052	0.948	0.0	
0.2929	0.0517	0.9483	0.0	
0.2968	0.0514	0.9486	0.0	
0.3006	0.0509	0.9491	0.0	
0.3044	0.0509	0.9491	0.0	
0.3083	0.0507	0.9493	0.0	
0.3119	0.0504	0.9496	0.0	
0.3154	0.0504	0.9496	0.0	
0.3187	0.0501	0.9499	0.0	
0.3219	0.0499	0.9501	0.0	
0.3249	0.0497	0.9503	0.0	
0.3279	0.0495	0.9505	0.0	
0.3314	0.0492	0.9508	0.0	
0.3353	0.0489	0.9511	0.0	
0.3391	0.0488	0.9512	0.0	
0.3429	0.0484	0.9516	0.0	
0.3468	0.0481	0.9519	0.0	
0.3506	0.048	0.952	0.0	
0.3545	0.0477	0.9523	0.0	
0.3583	0.0472	0.9528	0.0	
0.3622	0.0473	0.9527	0.0	
0.366	0.0471	0.9529	0.0	
0.3698	0.0471	0.9529	0.0	
0.3737	0.047	0.953	0.0	
0.3775	0.0471	0.9529	0.0	
0.3814	0.0471	0.9529	0.0	
0.3852	0.047	0.953	0.0	
0.389	0.047	0.953	0.0	
0.3929	0.0471	0.9529	0.0	
0.3967	0.047	0.953	0.0	
0.4006	0.0468	0.9532	0.0	
0.4045	0.047	0.953	0.0	
0.4094	0.047	0.953	0.0	
0.4167	0.0468	0.9532	0.0	
0.4267	0.0469	0.9531	0.0	
0.4367	0.0468	0.9532	0.0	
0.4467	0.0466	0.9534	0.0	
0.4567	0.0468	0.9532	0.0	
0.4667	0.0469	0.9531	0.0	
