Sim 3

Solar R: 0.2091
Solar A: 0.4894
Solar T: 0.3015

Wavelength	R	A	T
0.25	0.0672	0.6972	0.2356	
0.251	0.0678	0.6965	0.2357	
0.252	0.0687	0.6948	0.2365	
0.253	0.0694	0.6933	0.2373	
0.254	0.0702	0.6926	0.2372	
0.255	0.0697	0.6916	0.2387	
0.256	0.0703	0.6908	0.2389	
0.257	0.0714	0.6895	0.2391	
0.258	0.0731	0.6875	0.2394	
0.2591	0.0733	0.685	0.2418	
0.2602	0.0744	0.6855	0.2401	
0.2613	0.0755	0.6812	0.2433	
0.2624	0.0758	0.6785	0.2457	
0.2635	0.077	0.6782	0.2449	
0.2646	0.0774	0.6748	0.2478	
0.2657	0.0788	0.6707	0.2505	
0.2668	0.0796	0.6706	0.2497	
0.2679	0.0802	0.6688	0.251	
0.269	0.0812	0.6639	0.2549	
0.2701	0.0814	0.6642	0.2545	
0.2712	0.0817	0.6636	0.2548	
0.2724	0.0814	0.664	0.2546	
0.2736	0.0818	0.66	0.2581	
0.2748	0.0811	0.6614	0.2575	
0.276	0.0812	0.6596	0.2591	
0.2772	0.0807	0.6615	0.2578	
0.2784	0.08	0.6625	0.2575	
0.2796	0.0798	0.662	0.2582	
0.2808	0.0787	0.6618	0.2594	
0.2821	0.0782	0.6648	0.2569	
0.2834	0.0778	0.663	0.2592	
0.2847	0.0762	0.666	0.2578	
0.286	0.0765	0.6674	0.2562	
0.2873	0.0739	0.6672	0.2589	
0.2886	0.0725	0.6709	0.2566	
0.2899	0.0712	0.6726	0.2562	
0.2912	0.0684	0.6773	0.2543	
0.2925	0.0675	0.6802	0.2523	
0.2939	0.0652	0.685	0.2498	
0.2953	0.0631	0.6886	0.2483	
0.2967	0.0616	0.6899	0.2485	
0.2981	0.0596	0.6948	0.2456	
0.2995	0.0589	0.6988	0.2423	
0.3009	0.0577	0.6997	0.2426	
0.3023	0.057	0.701	0.242	
0.3038	0.0558	0.7016	0.2426	
0.3053	0.0549	0.7041	0.2409	
0.3068	0.055	0.7033	0.2417	
0.3083	0.0544	0.7076	0.238	
0.3098	0.0532	0.7073	0.2395	
0.3113	0.0529	0.7071	0.24	
0.3128	0.0524	0.7092	0.2384	
0.3144	0.0519	0.7118	0.2362	
0.316	0.0518	0.7124	0.2359	
0.3176	0.0514	0.714	0.2346	
0.3192	0.0511	0.7137	0.2351	
0.3208	0.0509	0.712	0.2371	
0.3225	0.0509	0.7148	0.2344	
0.3242	0.0502	0.7139	0.2358	
0.3259	0.0499	0.7163	0.2338	
0.3276	0.0501	0.715	0.2349	
0.3293	0.0496	0.7175	0.2329	
0.331	0.0496	0.7149	0.2355	
0.3327	0.0493	0.717	0.2336	
0.3345	0.0491	0.7162	0.2347	
0.3363	0.0496	0.7183	0.2321	
0.3381	0.0499	0.7172	0.2329	
0.3399	0.049	0.7168	0.2342	
0.3417	0.0496	0.718	0.2324	
0.3436	0.0496	0.7173	0.2331	
0.3455	0.0495	0.7184	0.2322	
0.3474	0.0498	0.718	0.2322	
0.3493	0.0504	0.717	0.2326	
0.3512	0.05	0.7173	0.2327	
0.3531	0.051	0.717	0.232	
0.3551	0.0516	0.7143	0.2341	
0.3571	0.0514	0.7118	0.2368	
0.3591	0.0528	0.7124	0.2348	
0.3612	0.0531	0.7116	0.2354	
0.3633	0.0536	0.7081	0.2383	
0.3654	0.0535	0.7084	0.238	
0.3675	0.0534	0.7082	0.2384	
0.3696	0.0528	0.7074	0.2399	
0.3718	0.0517	0.7099	0.2384	
0.374	0.051	0.7123	0.2367	
0.3762	0.0493	0.7142	0.2366	
0.3785	0.0485	0.7162	0.2353	
0.3808	0.0473	0.7204	0.2323	
0.3831	0.0458	0.7214	0.2328	
0.3854	0.0459	0.7241	0.2299	
0.3877	0.0444	0.7243	0.2313	
0.3901	0.0437	0.724	0.2323	
0.3925	0.0428	0.7306	0.2266	
0.395	0.0423	0.7303	0.2274	
0.3975	0.0422	0.732	0.2257	
0.4	0.0415	0.7323	0.2263	
0.4025	0.041	0.7345	0.2245	
0.405	0.0404	0.7361	0.2235	
0.4076	0.0404	0.7376	0.2219	
0.4102	0.0404	0.739	0.2207	
0.4129	0.0393	0.7387	0.222	
0.4156	0.0395	0.7412	0.2193	
0.4184	0.0387	0.7417	0.2195	
0.4212	0.0385	0.744	0.2176	
0.424	0.038	0.7438	0.2182	
0.4269	0.0384	0.7432	0.2184	
0.4298	0.0378	0.7463	0.216	
0.4328	0.0377	0.7457	0.2165	
0.4358	0.0377	0.7492	0.2131	
0.4389	0.0385	0.7478	0.2137	
0.442	0.0386	0.7486	0.2128	
0.4451	0.0378	0.7465	0.2156	
0.4482	0.0379	0.7472	0.2149	
0.4514	0.0395	0.7484	0.2121	
0.4547	0.0406	0.7451	0.2143	
0.458	0.0384	0.7493	0.2123	
0.4614	0.0367	0.7536	0.2098	
0.4648	0.0368	0.7532	0.21	
0.4682	0.0388	0.7532	0.208	
0.4717	0.0413	0.7527	0.2059	
0.4753	0.0439	0.7489	0.2071	
0.4789	0.0436	0.7453	0.2112	
0.4826	0.0424	0.7477	0.2099	
0.4863	0.0463	0.7465	0.2072	
0.4901	0.0508	0.7444	0.2048	
0.4939	0.0558	0.7358	0.2084	
0.4978	0.0557	0.7279	0.2164	
0.5018	0.0492	0.7318	0.219	
0.5058	0.0437	0.7455	0.2107	
0.5099	0.0457	0.7471	0.2073	
0.5141	0.0536	0.7301	0.2163	
0.5183	0.061	0.7096	0.2294	
0.5226	0.0646	0.7098	0.2255	
0.527	0.0625	0.7278	0.2096	
0.5315	0.0624	0.7263	0.2113	
0.536	0.0577	0.735	0.2073	
0.5405	0.0588	0.7193	0.2218	
0.5452	0.0701	0.6953	0.2345	
0.55	0.0814	0.6954	0.2231	
0.5548	0.0955	0.711	0.1935	
0.5597	0.0987	0.6902	0.2111	
0.5647	0.1052	0.6564	0.2384	
0.5698	0.0908	0.6589	0.2503	
0.575	0.0899	0.6543	0.2558	
0.5803	0.0951	0.6713	0.2336	
0.5857	0.1008	0.6912	0.208	
0.5911	0.1114	0.6905	0.1981	
0.5967	0.139	0.6138	0.2471	
0.6024	0.1496	0.566	0.2843	
0.6082	0.1282	0.5851	0.2867	
0.6142	0.0938	0.6575	0.2487	
0.6202	0.0928	0.6738	0.2334	
0.6263	0.0931	0.699	0.2079	
0.6326	0.1236	0.6139	0.2625	
0.639	0.1489	0.5518	0.2993	
0.6455	0.1748	0.4815	0.3437	
0.6521	0.1817	0.4736	0.3447	
0.6589	0.1276	0.6413	0.231	
0.6658	0.1528	0.5789	0.2683	
0.6729	0.1591	0.6022	0.2387	
0.6801	0.163	0.5957	0.2413	
0.6874	0.1527	0.527	0.3203	
0.695	0.1614	0.4626	0.376	
0.7027	0.1893	0.4097	0.401	
0.7106	0.2075	0.425	0.3675	
0.7187	0.1789	0.6156	0.2055	
0.7269	0.2268	0.5154	0.2578	
0.7353	0.2686	0.4183	0.3132	
0.7439	0.2748	0.4039	0.3214	
0.7527	0.2584	0.3997	0.3419	
0.7618	0.2418	0.3744	0.3838	
0.771	0.2453	0.3498	0.4049	
0.7805	0.2619	0.3523	0.3858	
0.7902	0.2688	0.4284	0.3028	
0.8001	0.2876	0.4925	0.2199	
0.8103	0.3446	0.3249	0.3304	
0.8189	0.3883	0.2111	0.4006	
0.8239	0.4364	0.1092	0.4544	
0.8273	0.4626	0.0536	0.4837	
0.8307	0.4586	0.0515	0.4899	
0.8345	0.4558	0.0509	0.4933	
0.8408	0.4476	0.0512	0.5012	
0.8508	0.4285	0.0541	0.5174	
0.8608	0.4114	0.0598	0.5288	
0.8708	0.2891	0.3586	0.3524	
0.8808	0.4129	0.0854	0.5017	
0.8908	0.3967	0.2187	0.3846	
0.9008	0.4522	0.0895	0.4583	
0.9108	0.4547	0.0816	0.4636	
0.9208	0.4409	0.0673	0.4918	
0.9308	0.4281	0.0669	0.505	
0.9408	0.4149	0.0761	0.5091	
0.9508	0.4067	0.0869	0.5063	
0.9608	0.4041	0.0902	0.5057	
0.9708	0.399	0.0966	0.5043	
0.9808	0.39	0.1214	0.4886	
0.9908	0.3975	0.1391	0.4634	
1.0008	0.4161	0.1061	0.4779	
1.0108	0.4701	0.1843	0.3456	
1.0208	0.4261	0.1537	0.4202	
1.0308	0.3643	0.1143	0.5214	
1.0408	0.3414	0.1114	0.5473	
1.0508	0.3254	0.1112	0.5634	
1.0608	0.3122	0.1112	0.5766	
1.0708	0.3088	0.1128	0.5784	
1.0808	0.3121	0.1144	0.5736	
1.0908	0.3145	0.1174	0.5681	
1.1008	0.323	0.1225	0.5545	
