Sim 2

Solar R: 0.2624
Solar A: 0.5522
Solar T: 0.1855

Wavelength	R	A	T
0.25	0.0639	0.822	0.1142	
0.251	0.0642	0.8216	0.1143	
0.252	0.0653	0.8191	0.1156	
0.253	0.0648	0.8189	0.1163	
0.254	0.0661	0.8172	0.1167	
0.255	0.067	0.8175	0.1155	
0.256	0.0675	0.8145	0.118	
0.257	0.0685	0.8128	0.1188	
0.258	0.069	0.8119	0.1191	
0.2591	0.0705	0.8096	0.1199	
0.2602	0.0706	0.8079	0.1214	
0.2613	0.0716	0.807	0.1214	
0.2624	0.0724	0.8053	0.1223	
0.2635	0.0739	0.8021	0.124	
0.2646	0.0748	0.7998	0.1253	
0.2657	0.0748	0.7987	0.1264	
0.2668	0.0765	0.7972	0.1263	
0.2679	0.0773	0.7932	0.1295	
0.269	0.0784	0.7915	0.1301	
0.2701	0.0788	0.7913	0.1299	
0.2712	0.0795	0.7885	0.132	
0.2724	0.0796	0.7892	0.1311	
0.2736	0.0793	0.7864	0.1343	
0.2748	0.0792	0.7874	0.1333	
0.276	0.0791	0.7869	0.1339	
0.2772	0.078	0.7867	0.1353	
0.2784	0.0769	0.7886	0.1346	
0.2796	0.0778	0.7866	0.1356	
0.2808	0.0768	0.7873	0.1359	
0.2821	0.0755	0.7884	0.1361	
0.2834	0.0748	0.7896	0.1356	
0.2847	0.0748	0.7904	0.1347	
0.286	0.0726	0.7928	0.1345	
0.2873	0.0727	0.793	0.1343	
0.2886	0.0706	0.7945	0.1349	
0.2899	0.0686	0.7982	0.1332	
0.2912	0.0659	0.8007	0.1334	
0.2925	0.0647	0.806	0.1293	
0.2939	0.0627	0.81	0.1274	
0.2953	0.0604	0.8137	0.1259	
0.2967	0.0597	0.8152	0.1251	
0.2981	0.0575	0.8197	0.1228	
0.2995	0.0571	0.8215	0.1215	
0.3009	0.0553	0.8226	0.1221	
0.3023	0.0546	0.8248	0.1206	
0.3038	0.0535	0.8256	0.1209	
0.3053	0.053	0.8281	0.119	
0.3068	0.0523	0.8297	0.118	
0.3083	0.0524	0.8298	0.1178	
0.3098	0.0512	0.8303	0.1186	
0.3113	0.0514	0.8311	0.1176	
0.3128	0.0504	0.8342	0.1154	
0.3144	0.0502	0.833	0.1167	
