Sim 2

Solar R: 0.2544
Solar A: 0.5597
Solar T: 0.1859

WL	R	A	T	n(1)	mu_a(1)	mu_s(1)	g(1)	t(1)
0.25	0.062	0.8344	0.1037	1.362	0.0021	0.0061	0.6544	500.0	
0.251	0.0629	0.833	0.1041	1.3617	0.0021	0.0061	0.6528	500.0	
0.252	0.0635	0.8327	0.1038	1.3614	0.0021	0.0061	0.6513	500.0	
0.253	0.0641	0.8294	0.1065	1.361	0.0021	0.0061	0.6497	500.0	
0.254	0.0649	0.8299	0.1052	1.3607	0.0021	0.0062	0.6485	500.0	
0.255	0.0656	0.8271	0.1073	1.3604	0.002	0.0062	0.6469	500.0	
0.256	0.0666	0.8267	0.1067	1.3601	0.002	0.0062	0.6455	500.0	
0.257	0.067	0.8239	0.1091	1.3598	0.002	0.0062	0.644	500.0	
0.258	0.067	0.8239	0.1091	1.3594	0.002	0.0062	0.6425	500.0	
0.259	0.0683	0.8223	0.1093	1.3591	0.002	0.0062	0.641	500.0	
0.26	0.0691	0.8203	0.1105	1.3588	0.002	0.0062	0.6395	500.0	
0.261	0.0697	0.8189	0.1115	1.3585	0.0019	0.0062	0.6379	500.0	
0.262	0.0701	0.8183	0.1115	1.3582	0.0019	0.0063	0.6363	500.0	
0.263	0.0707	0.8162	0.113	1.3578	0.0019	0.0063	0.6346	500.0	
0.264	0.0723	0.8138	0.1139	1.3575	0.0019	0.0063	0.6329	500.0	
0.265	0.0723	0.8132	0.1145	1.3572	0.0019	0.0063	0.6311	500.0	
0.266	0.0733	0.8101	0.1166	1.3569	0.0018	0.0063	0.6294	500.0	
0.267	0.0752	0.8085	0.1162	1.3566	0.0018	0.0063	0.6276	500.0	
0.268	0.075	0.807	0.118	1.3562	0.0018	0.0063	0.626	500.0	
0.269	0.0763	0.8047	0.119	1.3559	0.0018	0.0062	0.6244	500.0	
0.27	0.0762	0.8031	0.1206	1.3556	0.0018	0.0062	0.6229	500.0	
0.271	0.077	0.802	0.121	1.3553	0.0018	0.0062	0.6217	500.0	
0.272	0.0769	0.8001	0.123	1.355	0.0017	0.0062	0.6206	500.0	
0.273	0.0774	0.8003	0.1223	1.3546	0.0017	0.0062	0.6197	500.0	
0.274	0.0778	0.7998	0.1224	1.3543	0.0017	0.0061	0.6191	500.0	
0.275	0.0769	0.7999	0.1232	1.354	0.0017	0.0061	0.6186	500.0	
0.276	0.0765	0.7998	0.1236	1.3538	0.0017	0.0061	0.6183	500.0	
0.277	0.0763	0.7993	0.1244	1.3536	0.0017	0.0061	0.6181	500.0	
0.278	0.0759	0.8003	0.1238	1.3534	0.0018	0.006	0.618	500.0	
0.279	0.0753	0.7999	0.1248	1.3532	0.0018	0.006	0.6181	500.0	
0.28	0.0744	0.8009	0.1247	1.353	0.0018	0.006	0.6182	500.0	
0.281	0.0738	0.8025	0.1238	1.3528	0.0018	0.0059	0.6183	500.0	
0.282	0.0742	0.8018	0.124	1.3526	0.0018	0.0059	0.6184	500.0	
0.283	0.073	0.8042	0.1228	1.3524	0.0018	0.0059	0.6185	500.0	
0.284	0.0729	0.8037	0.1234	1.3522	0.0018	0.0058	0.6186	500.0	
0.285	0.072	0.8045	0.1235	1.352	0.0018	0.0058	0.6188	500.0	
0.286	0.0713	0.8044	0.1243	1.3518	0.0018	0.0058	0.6192	500.0	
0.287	0.0703	0.8074	0.1223	1.3516	0.0018	0.0057	0.6197	500.0	
0.288	0.0699	0.8079	0.1222	1.3514	0.0019	0.0057	0.6209	500.0	
0.289	0.0678	0.8093	0.1228	1.3512	0.0019	0.0056	0.6224	500.0	
0.29	0.0667	0.8114	0.1219	1.351	0.0019	0.0056	0.6243	500.0	
0.291	0.0647	0.8152	0.1201	1.3508	0.002	0.0055	0.6267	500.0	
0.292	0.0641	0.8167	0.1192	1.3506	0.002	0.0055	0.6292	500.0	
0.293	0.0622	0.8189	0.1189	1.3504	0.002	0.0055	0.6318	500.0	
0.294	0.0611	0.8226	0.1164	1.3502	0.0021	0.0054	0.6343	500.0	
0.295	0.0606	0.8235	0.1159	1.35	0.0021	0.0054	0.6368	500.0	
0.296	0.0588	0.8271	0.1141	1.3498	0.0021	0.0053	0.6392	500.0	
0.297	0.0576	0.8299	0.1125	1.3496	0.0021	0.0053	0.6415	500.0	
0.298	0.0574	0.8301	0.1125	1.3494	0.0022	0.0053	0.6437	500.0	
0.299	0.0557	0.8327	0.1116	1.3492	0.0022	0.0053	0.6455	500.0	
0.3	0.055	0.8347	0.1103	1.349	0.0022	0.0052	0.6474	500.0	
0.301	0.0549	0.8332	0.112	1.3489	0.0022	0.0052	0.6492	500.0	
0.302	0.0534	0.8355	0.111	1.3488	0.0023	0.0052	0.6508	500.0	
0.303	0.0538	0.8368	0.1094	1.3486	0.0023	0.0052	0.6522	500.0	
0.304	0.0527	0.8386	0.1087	1.3485	0.0023	0.0052	0.6536	500.0	
0.305	0.0519	0.8389	0.1092	1.3484	0.0023	0.0052	0.6549	500.0	
0.306	0.0522	0.8393	0.1085	1.3483	0.0023	0.0051	0.6562	500.0	
0.307	0.0514	0.8403	0.1083	1.3482	0.0023	0.0051	0.6573	500.0	
0.308	0.0509	0.8414	0.1077	1.348	0.0024	0.0051	0.6584	500.0	
0.309	0.0509	0.8432	0.1059	1.3479	0.0024	0.0051	0.6594	500.0	
0.31	0.0502	0.8435	0.1063	1.3478	0.0024	0.0051	0.6603	500.0	
0.311	0.0501	0.8423	0.1076	1.3477	0.0024	0.0051	0.6611	500.0	
0.312	0.0499	0.8456	0.1044	1.3476	0.0024	0.0051	0.6619	500.0	
0.313	0.0496	0.845	0.1054	1.3474	0.0024	0.0051	0.6626	500.0	
0.314	0.0493	0.8459	0.1048	1.3473	0.0024	0.0051	0.6632	500.0	
0.315	0.0495	0.8457	0.1049	1.3472	0.0024	0.0051	0.6638	500.0	
0.316	0.0491	0.8464	0.1045	1.3471	0.0024	0.0051	0.6643	500.0	
0.317	0.0486	0.8472	0.1042	1.347	0.0024	0.005	0.6648	500.0	
0.318	0.0486	0.8474	0.1039	1.3468	0.0025	0.005	0.6652	500.0	
0.319	0.0485	0.8487	0.1028	1.3467	0.0025	0.005	0.6656	500.0	
