Sim 1

Solar R: 0.9241
Solar A: 0.0
Solar T: 0.0759

Wavelength	R	A	T
0.25	0.9752	0.0	0.0248	
0.26	0.9812	0.0	0.0188	
0.27	0.9766	0.0	0.0234	
0.28	0.9786	0.0	0.0214	
0.29	0.9804	0.0	0.0196	
0.3	0.9784	0.0	0.0216	
0.31	0.978	0.0	0.022	
0.32	0.9795	0.0	0.0205	
0.33	0.9786	0.0	0.0214	
0.34	0.9787	0.0	0.0213	
0.35	0.9793	0.0	0.0207	
0.36	0.978	0.0	0.022	
0.37	0.9768	0.0	0.0232	
0.38	0.9748	0.0	0.0252	
0.39	0.9748	0.0	0.0252	
0.4	0.9763	0.0	0.0237	
0.41	0.9751	0.0	0.0249	
0.42	0.9765	0.0	0.0235	
0.43	0.9766	0.0	0.0234	
0.44	0.9747	0.0	0.0253	
0.45	0.9746	0.0	0.0254	
0.46	0.9744	0.0	0.0256	
0.47	0.9728	0.0	0.0272	
0.48	0.9723	0.0	0.0277	
0.49	0.9714	0.0	0.0286	
0.5	0.9713	0.0	0.0287	
0.51	0.9704	0.0	0.0296	
0.52	0.9699	0.0	0.0301	
0.53	0.9686	0.0	0.0314	
0.54	0.9673	0.0	0.0327	
0.55	0.9652	0.0	0.0348	
0.56	0.9653	0.0	0.0347	
0.57	0.9638	0.0	0.0362	
0.58	0.9623	0.0	0.0377	
0.59	0.9623	0.0	0.0377	
0.6	0.9606	0.0	0.0394	
0.61	0.9599	0.0	0.0401	
0.62	0.9609	0.0	0.0391	
0.63	0.959	0.0	0.0411	
0.64	0.9599	0.0	0.0401	
0.65	0.9606	0.0	0.0394	
0.66	0.9587	0.0	0.0413	
0.67	0.9589	0.0	0.0411	
0.68	0.959	0.0	0.0411	
0.69	0.9588	0.0	0.0412	
0.7	0.9588	0.0	0.0412	
0.71	0.9585	0.0	0.0415	
0.72	0.9566	0.0	0.0434	
0.73	0.9556	0.0	0.0444	
0.74	0.9558	0.0	0.0442	
0.75	0.9543	0.0	0.0457	
0.76	0.955	0.0	0.045	
0.77	0.9544	0.0	0.0456	
0.78	0.9541	0.0	0.0459	
0.79	0.9528	0.0	0.0472	
0.8	0.9528	0.0	0.0472	
0.81	0.9531	0.0	0.0469	
0.82	0.9519	0.0	0.0481	
0.83	0.9522	0.0	0.0478	
0.84	0.9521	0.0	0.0479	
0.85	0.9514	0.0	0.0486	
0.86	0.9505	0.0	0.0495	
0.87	0.9512	0.0	0.0488	
0.88	0.951	0.0	0.049	
0.89	0.9502	0.0	0.0498	
0.9	0.9491	0.0	0.0509	
0.91	0.9469	0.0	0.0531	
0.92	0.9464	0.0	0.0536	
0.93	0.9441	0.0	0.0559	
0.94	0.9444	0.0	0.0556	
0.95	0.9431	0.0	0.0569	
0.96	0.941	0.0	0.059	
0.97	0.939	0.0	0.061	
0.98	0.936	0.0	0.064	
0.99	0.9351	0.0	0.0649	
1.0	0.9322	0.0	0.0678	
1.01	0.9301	0.0	0.0699	
1.02	0.9278	0.0	0.0722	
1.03	0.9258	0.0	0.0741	
1.04	0.9221	0.0	0.0779	
1.05	0.9183	0.0	0.0817	
1.06	0.9148	0.0	0.0852	
1.07	0.9137	0.0	0.0863	
1.08	0.9088	0.0	0.0912	
1.09	0.9049	0.0	0.0951	
1.1	0.9008	0.0	0.0992	
1.11	0.897	0.0	0.103	
1.12	0.8922	0.0	0.1078	
1.13	0.8883	0.0	0.1117	
1.14	0.8844	0.0	0.1156	
1.15	0.8796	0.0	0.1204	
1.16	0.8757	0.0	0.1243	
1.17	0.8721	0.0	0.1279	
1.18	0.866	0.0	0.134	
1.19	0.8637	0.0	0.1363	
1.2	0.8583	0.0	0.1417	
1.21	0.8552	0.0	0.1448	
1.22	0.8521	0.0	0.1479	
1.23	0.8449	0.0	0.1551	
1.24	0.8435	0.0	0.1565	
1.25	0.8397	0.0	0.1603	
1.26	0.8363	0.0	0.1637	
1.27	0.8362	0.0	0.1638	
1.28	0.8287	0.0	0.1713	
1.29	0.8257	0.0	0.1743	
1.3	0.8267	0.0	0.1733	
1.31	0.8234	0.0	0.1766	
1.32	0.8202	0.0	0.1798	
1.33	0.8202	0.0	0.1798	
1.34	0.8169	0.0	0.1831	
1.35	0.8125	0.0	0.1875	
1.36	0.81	0.0	0.19	
1.37	0.8137	0.0	0.1863	
1.38	0.8071	0.0	0.1929	
1.39	0.8088	0.0	0.1911	
1.4	0.8053	0.0	0.1947	
1.41	0.8052	0.0	0.1948	
1.42	0.805	0.0	0.195	
1.43	0.8029	0.0	0.1971	
1.44	0.8	0.0	0.2	
1.45	0.8013	0.0	0.1987	
1.46	0.7987	0.0	0.2013	
1.47	0.7997	0.0	0.2003	
1.48	0.7973	0.0	0.2027	
1.49	0.795	0.0	0.205	
1.5	0.7944	0.0	0.2056	
1.51	0.792	0.0	0.208	
1.52	0.7938	0.0	0.2062	
1.53	0.7928	0.0	0.2072	
1.54	0.7922	0.0	0.2078	
1.55	0.7903	0.0	0.2097	
1.56	0.7894	0.0	0.2106	
1.57	0.7875	0.0	0.2125	
1.58	0.788	0.0	0.212	
1.59	0.7859	0.0	0.2141	
1.6	0.787	0.0	0.213	
1.61	0.7832	0.0	0.2168	
1.62	0.7824	0.0	0.2176	
1.63	0.7819	0.0	0.2181	
1.64	0.782	0.0	0.218	
1.65	0.78	0.0	0.22	
1.66	0.7796	0.0	0.2204	
1.67	0.7759	0.0	0.2241	
1.68	0.7768	0.0	0.2232	
1.69	0.7746	0.0	0.2254	
1.7	0.7734	0.0	0.2266	
1.71	0.7732	0.0	0.2268	
1.72	0.7701	0.0	0.2299	
1.73	0.7698	0.0	0.2302	
1.74	0.7679	0.0	0.2321	
1.75	0.7685	0.0	0.2315	
1.76	0.7659	0.0	0.2341	
1.77	0.7658	0.0	0.2342	
1.78	0.7618	0.0	0.2382	
1.79	0.7625	0.0	0.2375	
1.8	0.7588	0.0	0.2412	
1.81	0.7591	0.0	0.2409	
1.82	0.7528	0.0	0.2471	
1.83	0.7542	0.0	0.2457	
1.84	0.7522	0.0	0.2478	
1.85	0.7506	0.0	0.2494	
1.86	0.7494	0.0	0.2506	
1.87	0.7446	0.0	0.2554	
1.88	0.7449	0.0	0.2551	
1.89	0.7426	0.0	0.2574	
1.9	0.7421	0.0	0.2579	
1.91	0.7374	0.0	0.2626	
1.92	0.7391	0.0	0.2609	
1.93	0.7348	0.0	0.2652	
1.94	0.734	0.0	0.266	
1.95	0.7333	0.0	0.2667	
1.96	0.7286	0.0	0.2714	
1.97	0.7262	0.0	0.2738	
1.98	0.7268	0.0	0.2731	
1.99	0.724	0.0	0.2759	
2.0	0.724	0.0	0.2759	
2.01	0.7189	0.0	0.281	
2.02	0.7166	0.0	0.2834	
2.03	0.7177	0.0	0.2822	
2.04	0.7125	0.0	0.2874	
2.05	0.7092	0.0001	0.2908	
2.06	0.7085	0.0001	0.2914	
2.07	0.707	0.0001	0.293	
2.08	0.7033	0.0001	0.2966	
2.09	0.701	0.0001	0.299	
2.1	0.6994	0.0001	0.3005	
2.11	0.6956	0.0001	0.3044	
2.12	0.6915	0.0001	0.3084	
2.13	0.6918	0.0001	0.3081	
2.14	0.6899	0.0001	0.31	
2.15	0.6874	0.0001	0.3125	
2.16	0.6807	0.0001	0.3192	
2.17	0.6822	0.0001	0.3177	
2.18	0.6791	0.0001	0.3208	
2.19	0.6797	0.0001	0.3202	
2.2	0.6711	0.0001	0.3288	
2.21	0.6726	0.0001	0.3273	
2.22	0.6668	0.0001	0.3331	
2.23	0.664	0.0001	0.3359	
2.24	0.6636	0.0001	0.3363	
2.25	0.6608	0.0001	0.3391	
2.26	0.6575	0.0001	0.3423	
2.27	0.653	0.0001	0.3469	
2.28	0.6492	0.0001	0.3507	
2.29	0.648	0.0001	0.3519	
2.3	0.6485	0.0001	0.3514	
2.31	0.6447	0.0001	0.3552	
2.32	0.6435	0.0001	0.3564	
2.33	0.6391	0.0001	0.3607	
2.34	0.6343	0.0002	0.3655	
2.35	0.631	0.0002	0.3688	
2.36	0.629	0.0002	0.3708	
2.37	0.625	0.0002	0.3748	
2.38	0.6216	0.0002	0.3782	
2.39	0.6186	0.0002	0.3812	
2.4	0.6198	0.0002	0.38	
