Sim 3

Solar R: 0.9611
Solar A: 0.0
Solar T: 0.0389

Wavelength	R	A	T
0.25	0.9627	0.0	0.0373	
0.26	0.9584	0.0	0.0416	
0.27	0.952	0.0	0.048	
0.28	0.9691	0.0	0.0309	
0.29	0.9629	0.0	0.0371	
0.3	0.9647	0.0	0.0353	
0.31	0.9651	0.0	0.0349	
0.32	0.9689	0.0	0.0311	
0.33	0.9624	0.0	0.0376	
0.34	0.9711	0.0	0.0289	
0.35	0.9638	0.0	0.0362	
0.36	0.9666	0.0	0.0334	
0.37	0.9738	0.0	0.0262	
0.38	0.9667	0.0	0.0333	
0.39	0.9668	0.0	0.0332	
0.4	0.9714	0.0	0.0286	
0.41	0.9706	0.0	0.0294	
0.42	0.9673	0.0	0.0327	
0.43	0.9689	0.0	0.0311	
0.44	0.971	0.0	0.029	
0.45	0.9723	0.0	0.0277	
0.46	0.9694	0.0	0.0306	
0.47	0.9679	0.0	0.0321	
0.48	0.9694	0.0	0.0306	
0.49	0.9719	0.0	0.0281	
0.5	0.9713	0.0	0.0287	
0.51	0.972	0.0	0.028	
0.52	0.9681	0.0	0.0319	
0.53	0.9684	0.0	0.0316	
0.54	0.9686	0.0	0.0314	
0.55	0.9703	0.0	0.0297	
0.56	0.9705	0.0	0.0295	
0.57	0.9694	0.0	0.0306	
0.58	0.9701	0.0	0.0299	
0.59	0.9702	0.0	0.0298	
0.6	0.9677	0.0	0.0323	
0.61	0.969	0.0	0.031	
0.62	0.967	0.0	0.033	
0.63	0.9677	0.0	0.0323	
0.64	0.9681	0.0	0.0319	
0.65	0.9689	0.0	0.0311	
0.66	0.9676	0.0	0.0324	
0.67	0.9677	0.0	0.0323	
0.68	0.9675	0.0	0.0325	
0.69	0.9669	0.0	0.0331	
0.7	0.967	0.0	0.033	
0.71	0.966	0.0	0.034	
0.72	0.967	0.0	0.0331	
0.73	0.9676	0.0	0.0324	
0.74	0.9661	0.0	0.0339	
0.75	0.9654	0.0	0.0346	
0.76	0.9665	0.0	0.0335	
0.77	0.9643	0.0	0.0357	
0.78	0.9653	0.0	0.0347	
0.79	0.9643	0.0	0.0357	
0.8	0.9629	0.0	0.0371	
0.81	0.9633	0.0	0.0367	
0.82	0.9637	0.0	0.0363	
0.83	0.9633	0.0	0.0367	
0.84	0.9628	0.0	0.0372	
0.85	0.9634	0.0	0.0366	
0.86	0.9634	0.0	0.0366	
0.87	0.9634	0.0	0.0366	
0.88	0.963	0.0	0.0369	
0.89	0.9623	0.0	0.0377	
0.9	0.9633	0.0	0.0367	
0.91	0.9629	0.0	0.0371	
0.92	0.9624	0.0	0.0377	
0.93	0.9629	0.0	0.0371	
0.94	0.9616	0.0	0.0384	
0.95	0.962	0.0	0.038	
0.96	0.962	0.0	0.038	
0.97	0.9615	0.0	0.0385	
0.98	0.9613	0.0	0.0387	
0.99	0.9609	0.0	0.0391	
1.0	0.9592	0.0	0.0408	
1.01	0.9595	0.0	0.0405	
1.02	0.9602	0.0	0.0398	
1.03	0.9596	0.0	0.0404	
1.04	0.9595	0.0	0.0405	
1.05	0.9588	0.0	0.0412	
1.06	0.9589	0.0	0.0411	
1.07	0.9587	0.0	0.0413	
1.08	0.9584	0.0	0.0416	
1.09	0.9579	0.0	0.0421	
1.1	0.9566	0.0	0.0434	
1.11	0.9568	0.0	0.0432	
1.12	0.9563	0.0	0.0437	
1.13	0.9548	0.0	0.0452	
1.14	0.9558	0.0	0.0442	
1.15	0.9542	0.0	0.0458	
1.16	0.9558	0.0	0.0442	
1.17	0.9542	0.0	0.0458	
1.18	0.953	0.0	0.047	
1.19	0.9532	0.0	0.0468	
1.2	0.9532	0.0	0.0468	
1.21	0.9539	0.0	0.0461	
1.22	0.9522	0.0	0.0478	
1.23	0.9518	0.0	0.0482	
1.24	0.9525	0.0	0.0475	
1.25	0.9512	0.0	0.0488	
1.26	0.9519	0.0	0.0481	
1.27	0.9518	0.0	0.0482	
1.28	0.9511	0.0	0.0489	
1.29	0.9509	0.0	0.0491	
1.3	0.9518	0.0	0.0482	
1.31	0.9521	0.0	0.0479	
1.32	0.952	0.0	0.048	
1.33	0.9518	0.0	0.0482	
1.34	0.9516	0.0	0.0484	
1.35	0.9513	0.0	0.0487	
1.36	0.951	0.0	0.0491	
1.37	0.9529	0.0	0.0471	
1.38	0.9522	0.0	0.0478	
1.39	0.951	0.0	0.049	
1.4	0.9512	0.0	0.0488	
1.41	0.9513	0.0	0.0487	
1.42	0.9504	0.0	0.0496	
1.43	0.9512	0.0	0.0488	
1.44	0.9505	0.0	0.0495	
1.45	0.9503	0.0	0.0497	
1.46	0.95	0.0	0.05	
1.47	0.95	0.0	0.05	
1.48	0.9489	0.0	0.0511	
1.49	0.9503	0.0	0.0497	
1.5	0.9485	0.0	0.0515	
1.51	0.9487	0.0	0.0513	
1.52	0.9488	0.0	0.0512	
1.53	0.9483	0.0	0.0517	
1.54	0.9471	0.0	0.0529	
1.55	0.9451	0.0	0.0549	
1.56	0.9445	0.0	0.0555	
1.57	0.9446	0.0	0.0554	
1.58	0.9437	0.0	0.0563	
1.59	0.9428	0.0	0.0572	
1.6	0.9431	0.0	0.0569	
1.61	0.9422	0.0	0.0578	
1.62	0.9417	0.0	0.0583	
1.63	0.9406	0.0	0.0594	
1.64	0.9398	0.0	0.0602	
1.65	0.9392	0.0	0.0608	
1.66	0.9372	0.0	0.0628	
1.67	0.937	0.0	0.063	
1.68	0.9362	0.0	0.0638	
1.69	0.935	0.0	0.065	
1.7	0.9344	0.0	0.0656	
1.71	0.9327	0.0	0.0673	
1.72	0.9329	0.0	0.067	
1.73	0.9314	0.0	0.0686	
1.74	0.9307	0.0	0.0693	
1.75	0.9288	0.0	0.0712	
1.76	0.9279	0.0	0.072	
1.77	0.9282	0.0	0.0717	
1.78	0.9238	0.0	0.0762	
1.79	0.9256	0.0	0.0744	
1.8	0.9237	0.0	0.0762	
1.81	0.9242	0.0	0.0757	
1.82	0.9229	0.0	0.0771	
1.83	0.92	0.0	0.08	
1.84	0.9231	0.0	0.0768	
1.85	0.9195	0.0	0.0805	
1.86	0.9204	0.0001	0.0795	
1.87	0.9182	0.0001	0.0817	
1.88	0.9193	0.0001	0.0807	
1.89	0.9167	0.0001	0.0833	
1.9	0.9165	0.0001	0.0834	
1.91	0.917	0.0001	0.083	
1.92	0.9166	0.0001	0.0833	
1.93	0.9143	0.0001	0.0856	
1.94	0.9136	0.0001	0.0863	
1.95	0.9139	0.0001	0.0861	
1.96	0.9128	0.0001	0.0871	
1.97	0.9118	0.0001	0.0882	
1.98	0.9122	0.0001	0.0877	
1.99	0.9121	0.0001	0.0878	
2.0	0.9102	0.0001	0.0897	
2.01	0.9117	0.0001	0.0882	
2.02	0.9101	0.0001	0.0898	
2.03	0.9101	0.0001	0.0898	
2.04	0.91	0.0001	0.0899	
2.05	0.9093	0.0001	0.0906	
2.06	0.9103	0.0001	0.0895	
2.07	0.9101	0.0001	0.0898	
2.08	0.9112	0.0001	0.0887	
2.09	0.9103	0.0001	0.0896	
2.1	0.9089	0.0001	0.091	
2.11	0.9079	0.0001	0.092	
2.12	0.9078	0.0001	0.092	
2.13	0.9081	0.0002	0.0917	
2.14	0.908	0.0002	0.0919	
2.15	0.9068	0.0002	0.0931	
2.16	0.9076	0.0002	0.0922	
2.17	0.9076	0.0002	0.0922	
2.18	0.9061	0.0002	0.0937	
2.19	0.9073	0.0002	0.0925	
2.2	0.906	0.0002	0.0938	
