Sim 2

Solar R: 0.9526
Solar A: 0.0
Solar T: 0.0474

WL	R	A	T	n(1)	mu_a(1)	mu_s(1)	g(1)	t(1)
0.25	0.9619	0.0	0.0381	1.0	0.0	1.9995	0.5605	50.0	
0.26	0.9689	0.0	0.0311	1.0	0.0	2.44	0.547	50.0	
0.27	0.9659	0.0	0.0341	1.0	0.0	2.5585	0.6211	50.0	
0.28	0.9749	0.0	0.0251	1.0	0.0	3.3119	0.6037	50.0	
0.29	0.9689	0.0	0.0311	1.0	0.0	3.3339	0.6762	50.0	
0.3	0.9748	0.0	0.0252	1.0	0.0	4.1622	0.6864	50.0	
0.31	0.9746	0.0	0.0254	1.0	0.0	4.2525	0.6868	50.0	
0.32	0.973	0.0	0.027	1.0	0.0	4.7815	0.7384	50.0	
0.33	0.9784	0.0	0.0216	1.0	0.0	5.4482	0.7174	50.0	
0.34	0.9771	0.0	0.0229	1.0	0.0	5.3483	0.7423	50.0	
0.35	0.9726	0.0	0.0274	1.0	0.0	5.8289	0.7877	50.0	
0.36	0.9762	0.0	0.0238	1.0	0.0	6.4049	0.785	50.0	
0.37	0.977	0.0	0.023	1.0	0.0	6.3966	0.7742	50.0	
0.38	0.974	0.0	0.026	1.0	0.0	6.3812	0.8003	50.0	
0.39	0.9736	0.0	0.0264	1.0	0.0	6.7559	0.8136	50.0	
0.4	0.9766	0.0	0.0234	1.0	0.0	7.1112	0.8082	50.0	
0.41	0.9766	0.0	0.0234	1.0	0.0	7.0763	0.8002	50.0	
0.42	0.975	0.0	0.025	1.0	0.0	6.8996	0.8116	50.0	
0.43	0.9722	0.0	0.0278	1.0	0.0	6.9819	0.8273	50.0	
0.44	0.9724	0.0	0.0276	1.0	0.0	7.1893	0.8347	50.0	
0.45	0.9735	0.0	0.0265	1.0	0.0	7.3316	0.8328	50.0	
0.46	0.9742	0.0	0.0258	1.0	0.0	7.2511	0.8269	50.0	
0.47	0.9733	0.0	0.0267	1.0	0.0	7.0208	0.8258	50.0	
0.48	0.9727	0.0	0.0273	1.0	0.0	6.8738	0.8308	50.0	
0.49	0.9702	0.0	0.0298	1.0	0.0	6.8592	0.8372	50.0	
0.5	0.9706	0.0	0.0294	1.0	0.0	6.9083	0.8415	50.0	
0.51	0.97	0.0	0.03	1.0	0.0	6.9403	0.8426	50.0	
0.52	0.9694	0.0	0.0306	1.0	0.0	6.8841	0.8405	50.0	
0.53	0.9692	0.0	0.0308	1.0	0.0	6.7158	0.8367	50.0	
0.54	0.9693	0.0	0.0307	1.0	0.0	6.4914	0.8332	50.0	
0.55	0.9692	0.0	0.0308	1.0	0.0	6.2937	0.8314	50.0	
0.56	0.9681	0.0	0.0319	1.0	0.0	6.1602	0.8312	50.0	
0.57	0.9679	0.0	0.0321	1.0	0.0	6.0826	0.8317	50.0	
0.58	0.9668	0.0	0.0332	1.0	0.0	6.0351	0.8324	50.0	
0.59	0.9676	0.0	0.0324	1.0	0.0	5.989	0.8325	50.0	
0.6	0.9668	0.0	0.0332	1.0	0.0	5.9186	0.8317	50.0	
0.61	0.9659	0.0	0.0341	1.0	0.0	5.8092	0.8296	50.0	
0.62	0.9654	0.0	0.0346	1.0	0.0	5.6587	0.8261	50.0	
0.63	0.967	0.0	0.033	1.0	0.0	5.4826	0.8216	50.0	
0.64	0.9663	0.0	0.0337	1.0	0.0	5.3041	0.8165	50.0	
0.65	0.9653	0.0	0.0347	1.0	0.0	5.1423	0.8115	50.0	
0.66	0.9661	0.0	0.0339	1.0	0.0	5.0075	0.807	50.0	
